IMU: 1, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 261745, W: 0.7058, X: -0.2250, Y: 0.5575, Z: 0.3746
IMU: 2, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 261745, W: -0.5751, X: -0.2990, Y: -0.5495, Z: 0.5271
IMU: 3, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 261745, W: -0.7136, X: -0.4259, Y: -0.3378, Z: 0.4418
IMU: 4, Sys: 0, Gyro: 0, Acc: 1, Mag: 3, Time: 261745, W: 0.4409, X: -0.2553, Y: 0.6758, Z: 0.5327
IMU: 5, Sys: 3, Gyro: 3, Acc: 0, Mag: 3, Time: 261745, W: 0.6009, X: -0.3929, Y: 0.6164, Z: 0.3235
IMU: 6, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 261745, W: -0.3054, X: -0.3441, Y: -0.6106, Z: 0.6447
IMU: 7, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 261745, W: 0.7570, X: 0.3455, Y: 0.5546, Z: -0.0106
IMU: 8, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 261745, W: 0.6882, X: 0.0354, Y: 0.6290, Z: -0.3600
IMU: 9, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 261745, W: 0.7521, X: 0.3263, Y: 0.5576, Z: -0.1303
IMU: 0, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 261849, W: 0.5872, X: -0.3077, Y: 0.5703, Z: 0.4851
IMU: 1, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 261849, W: 0.7081, X: -0.2292, Y: 0.5595, Z: 0.3647
IMU: 2, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 261849, W: -0.5741, X: -0.2965, Y: -0.5471, Z: 0.5322
IMU: 3, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 261849, W: -0.7150, X: -0.4246, Y: -0.3344, Z: 0.4435
